filename,mfcc_feature_0,mfcc_feature_1,mfcc_feature_2,mfcc_feature_3,mfcc_feature_4,mfcc_feature_5,mfcc_feature_6,mfcc_feature_7,mfcc_feature_8,mfcc_feature_9,mfcc_feature_10,mfcc_feature_11,mfcc_feature_12,mfcc_feature_13,mfcc_feature_14,mfcc_feature_15,mfcc_feature_16,mfcc_feature_17,mfcc_feature_18,mfcc_feature_19,emotion_name,value,gender,intensity
03-01-01-01-01-01-01,-694.2950999146453,50.51030613513717,0.07910539367213919,15.019417837818244,2.971981888648489,-1.9993719624556368,-4.454842174179,-10.13855682078449,-7.65961623088552,2.401864835461835,-4.7351762057291955,2.6997615976637337,-5.785002950632769,3.465707389069328,-3.709777730686713,-2.554076764759052,-2.82873284678692,0.18096835665866867,-7.024908901931233,-0.5350489660232108,neutral,01,M,L
03-01-01-01-01-01-02,-636.0742110454644,47.73272763928559,-10.115961523198912,8.827009560814899,-10.24622074059349,-1.1222114678722468,-13.090826088665047,-3.9862436923976103,-4.1577469430289336,-1.987589280662066,-6.052173195286411,-1.6612415977226813,-3.9516117399669928,-4.663927903262881,-3.353099262929688,-1.5984318577648902,-2.9883950509025383,0.5300104517109262,-1.5344398780014163,0.5195092769844605,neutral,01,F,L
03-01-01-01-01-01-03,-605.428050326459,52.568146970439315,-4.035211064711492,13.12386720720077,-1.5429797382137014,-7.441834139961181,-14.518373227933957,-1.4397349711214718,-11.665676166173311,-1.2198237289865688,-5.338861222270931,-2.7859702628863072,-3.9783091525189267,-4.087552187393962,-3.612595287588856,-4.481383456242063,-2.253751420411675,-4.282179958545964,-5.57832819731051,-4.372313515797071,neutral,01,M,L
03-01-01-01-01-01-04,-678.0026767284019,35.74219800269363,-7.753930467824907,9.191631622744628,-10.066220190482268,-2.9485616232054093,-15.197331135057928,-8.966257481954685,-6.031113451202353,-1.5457163324813892,-9.708833658482535,-1.8263674346059298,-2.3292059064647472,-5.83217822840309,-2.967646860600224,0.20870240409709073,-2.068795200229264,4.858432525568224,-0.6217166840391475,0.6080075937345925,neutral,01,F,L
03-01-01-01-01-01-05,-694.8991883590459,65.91711485839645,4.2934638892864605,20.35639348678729,3.100713026751725,1.7121504187057326,-4.021400384948057,-0.31313279451547876,-0.07317373362629809,4.046745771654569,-0.10618242225697314,1.9515799762477137,-1.1472506700318863,3.8877671335646293,0.018941051472950096,0.9429663676394917,2.025476382313048,0.9125431296233687,-0.8227435492388002,1.8282190297899008,neutral,01,M,L
03-01-01-01-01-01-06,-722.171676483613,42.64280711232972,-20.213387463809827,13.450768752471832,-10.14069350139247,-8.621553622781189,-13.247404974017837,-8.195229148155606,-2.7095047992314027,-3.5518278040887625,-7.173470228105173,-4.953648224615048,-8.154661846928395,-4.6185889456094955,-4.483264802777343,-3.7448218328584466,-5.435776030541822,-7.520337619647658,-3.0739069793779246,3.4276113907552896,neutral,01,F,L
03-01-01-01-01-01-07,-636.8094226536309,67.83571655219089,3.0702288908467756,22.203691034536014,0.07820505960982932,-3.3872470247655424,-12.932212336761905,1.5885251094835535,-4.913318891335773,-3.591796381473123,-2.0532434884093544,2.9426402282992385,-8.016031793358561,4.462486505227132,-6.201623484359095,-1.6324096902343994,-2.212790218669864,-1.4915217570813961,-6.618575697957506,-0.9189318846558947,neutral,01,M,L
03-01-01-01-01-01-08,-678.6849446557303,60.65779388238077,8.39401347406544,24.43214840402011,-2.06519125852915,9.724540269532476,-8.49247439081285,-0.43237889169511606,-1.4537677259569863,2.67390783823813,-4.962600581918459,3.0718641180761166,0.7992835538948999,-0.22606279666329454,-0.35521090211701817,3.3157612308929996,1.282610867010627,3.2580730498690023,-0.7135285158291129,3.1169208839225346,neutral,01,F,L
03-01-01-01-01-01-09,-722.6130205144472,88.46251274508633,21.329479447787648,36.75106470140566,14.176945553570842,8.656099275600075,3.1587859773756097,9.06532316115535,5.393816864891714,2.0803848644692065,7.008296739104331,8.11600033219498,2.0235944934102,7.4062864522590885,1.2058040757183013,9.193097612542836,-1.9070278291472917,7.821769650542106,3.0884922848106275,2.423111216183267,neutral,01,M,L
03-01-01-01-01-01-10,-558.506209605117,47.27047843190158,-3.753786621197484,7.425284128138281,-0.010232810783934485,-6.4326656305526795,-10.171609841393094,-5.629781382253773,-2.078276083108166,-6.355066060115638,-3.4641367956614997,-0.5735741868688977,-4.790411392484394,0.9261034209095614,-0.9475011755082542,-3.5616843185830485,-0.46650475503212174,-2.755400569272863,-4.428067528451587,-0.4688954606815934,neutral,01,F,L
